id,director,keywords,genres
314365,Tom McCarthy,child abuse|journalism|judge|florida|boston,Drama|Thriller|History
294254,Wes Ball,based on novel|resistance|maze|post-apocalyptic|dystopia,Action|Science Fiction|Thriller
280996,Bill Condon,london|detective|sherlock holmes,Mystery|Drama
198184,Neill Blomkamp,artificial intelligence|android|robot|near future|robot cop,Crime|Action|Science Fiction
254470,Elizabeth Banks,music|sequel|singer|male female relationship|audition,Comedy|Music
296098,Steven Spielberg,spy|cia|cold war|pilot|lawyer,Thriller|Drama
257445,Rob Letterman,based on novel|magic|fantasy|family|3d,Adventure|Horror|Comedy
264644,Lenny Abrahamson,based on novel|carpet|isolation|imprisonment|grandparents,Drama|Thriller
339527,Afonso Poyart,thriller|serial killer|psychic|fbi agent|intrigue,Crime|Drama|Mystery
105864,Peter Sohn,tyrannosaurus rex|friends|animation|alternate history|dinosaur,Adventure|Animation|Comedy|Family|Fantasy
241554,Jaume Collet-Serra,hitman|revenge|murder|on the run|mobster,Action|Crime|Drama|Mystery|Thriller
167073,John Crowley,love triangle|based on novel|homesickness|vororte|ship,Drama|Romance
277216,F. Gary Gray,brother brother relationship|aids|police brutality|hip-hop|wife husband relationship,Drama|Music
274854,Breck Eisner,new york|witch|uprising|witch hunter,Fantasy|Action|Adventure
321697,Danny Boyle,biography|computer|based on true story|father daughter relationship|apple computer,History|Drama
203801,Guy Ritchie,spy|cold war|remake|based on tv series|buddy cop,Comedy|Action|Adventure
293863,Lee Toland Krieger,san francisco|immortality|love|forever,Fantasy|Drama|Romance
325348,Ilya Naishuller,female nudity|cyborg|nudity|murder|gore,Action|Adventure|Science Fiction
228161,Tim Johnson,friendship|spaceship|space|alien|alien invasion,Fantasy|Comedy|Animation|Science Fiction|Family
286565,Jake Schreier,friendship|high school|teen|classmate|based on young adult book,Drama|Mystery|Romance
265208,Simon West,gambling|bodyguard|remake,Thriller|Crime|Drama
254320,Yorgos Lanthimos,dystopia,Thriller|Comedy|Drama|Romance|Science Fiction
258480,Todd Haynes,gay|new york|female nudity|chicago|sex,Romance|Drama
257211,Nancy Meyers,intern|woman director,Comedy
253412,Baltasar KormÃ¡kur,mountains|snow storm|hiking|snow|death,Adventure|Drama
274479,David O. Russell,biography,Comedy|Drama
257088,Ericson Core,undercover|undercover agent|extreme sports|fbi agent|3d,Action|Crime|Thriller
295964,John Wells,london|cook|restaurant|diva|career,Drama
238615,Tarsem Singh,lie|immortality|terminal illness|laboratory|cancer,Science Fiction|Mystery|Thriller
210860,David Koepp,based on novel|painting|debt|art dealer|stolen painting,Comedy|Adventure
306819,Tom Hooper,paris|denmark|copenhagen|artist|art,Drama
201088,Michael Mann,terrorist|technology|anti hero|hacker|computer virus,Mystery|Crime|Action|Thriller|Drama
273481,Denis Villeneuve,mexico|cia|smoking|texas|fbi,Action|Crime|Drama|Mystery|Thriller
166424,Josh Trank,teleportation|transformation|telekinesis|portal|marvel comic,Action|Adventure|Science Fiction
310131,Robert Eggers,witch|new england|17th century,Mystery|Horror
238713,Paul Feig,spy|cia|undercover|arms dealer|disaster,Action|Comedy|Crime
256591,Glenn Ficarra|John Requa,seduction|con man|femme fatale|deception|con artist,Romance|Comedy|Crime|Drama
249070,Aleksander Bach,assassin|secret identity|intelligence|hitman|execution,Action|Crime|Thriller
205775,Ron Howard,suicide|ocean|sea|hunger|shipwreck,Thriller|Drama|Adventure|Action|History
334074,James McTeigue,new year's eve|fire|showdown|terrorist|embassy,Crime|Thriller|Action
312221,Ryan Coogler,underdog|sport|spin off|underground fighting|motivational speaker,Drama
271718,Judd Apatow,alcohol|one-night stand,Comedy
333352,Gavin Hood,terrorist|drone|u.s. military|air force base|combat drone,Drama|Thriller|War
276907,Brian Helgeland,biography|based on true story|gangster|twins,Crime|Thriller
284289,Jean-Baptiste LÃ©onetti,desert|hunting,Thriller
266647,Joe Wright,flying|magic|fairy tale|peter pan|mermaid,Adventure|Family|Fantasy
347096,Anne K. Black,sword|magic|sorcery|necromancer|woman director,Action|Adventure|Fantasy
308369,Alfonso Gomez-Rejon,tattoo|high school|leukemia|friends|parody,Comedy|Drama
227973,Steve Martino,based on comic strip|family|3d|charlie brown|snoopy,Adventure|Animation|Comedy|Family
321741,Peter Landesman,american football|biography|professional sports|sports injury|nfl,Drama
296100,Jonathan Levine,male friendship|new york city|drug|christmas eve|childhood friend,Comedy
263472,Eli Roth,female nudity|sex|disc jockey|infidelity|rain,Drama|Horror|Thriller
228205,"George Tillman, Jr.",based on novel|art student|cowboys|injury|bull riding,Romance|Drama
159824,Genndy Tartakovsky,transylvania|hotel|witch|technology|magic,Animation|Comedy|Family
333348,Jessie Nelson,big family|family relationships|family|woman director|christmas,Family|Comedy
285783,Robert Zemeckis,1970s|skyscraper|based on true story|tightrope|planning,Adventure|Drama|Thriller
290764,Daniel Benmayor,chinese mafia|parkour|new york city|loan shark|young adult,Action|Crime|Drama
296099,John Francis Daley|Jonathan M. Goldstein,route 66|grand canyon|cow|vacation|road trip,Adventure|Comedy
243688,Gil Kenan,poltergeist|haunted house|remake|duringcreditsstinger,Horror|Thriller
287424,Henry Hobson,post-apocalyptic|dystopia|zombies,Horror
301875,Drake Doremus,illustrator|sex scene|near future|infected|emotions,Drama|Romance|Science Fiction
181283,Daniel Espinosa,murder|serial killer|military|chili|soviet union,Crime|Thriller
328425,Joel Edgerton,detective|stalker|gift|bully|psychological thriller,Thriller|Mystery
274167,Sean Anders,daddys home,Comedy
370687,A. Todd Smith,sword|magic|sorcery|necromancer,Fantasy|Action|Adventure
307663,Brian A Miller,artificial intelligence|android|self-awareness|mercenary|virtual reality,Thriller|Science Fiction|Action|Adventure
309809,Mark Osborne,philosophy|utopia|airplane|adventure|dystopia,Adventure|Animation|Fantasy
258509,Walt Becker,chipmunk|cgi|talking animal|aftercreditsstinger|duringcreditsstinger,Adventure|Animation|Comedy|Family
298382,Jocelyn Moorhouse,based on novel|australia|dressmaker|hometown|woman director,Drama
272693,Ari Sandel,high school|teenager|popularity|high school senior|teen comedy,Romance|Comedy
283445,Ciaran Foy,haunted house|sequel|twins,Horror
256961,Andy Fickman,shopping mall|las vegas nevada|security guard,Action|Adventure|Comedy|Family
326359,Chris Buck|Jennifer Lee,sister sister relationship|birthday|song|birthday party|flu,Adventure|Animation|Family
254302,Ben Wheatley,skyscraper|high rise,Action|Drama|Science Fiction
241251,Rob Cohen,male nudity|female nudity|sex|adultery|infidelity,Thriller
292040,Bharat Nalluri,corruption|terrorist|explosive|police|kidnapping,Thriller|Action
188222,Doug Ellin,friendship|hollywood|movie star|entourage,Comedy
252838,Jeremy Garelick,male friendship|impersonator|wedding|lying|best man,Comedy
273477,Christopher B. Landon,female nudity|shotgun|nudity|strip club|party,Comedy|Horror
298312,M. Night Shyamalan,rap|pennsylvania|brother sister relationship|farm|grandparents,Horror|Thriller
261023,Scott Cooper,boston|based on true story|organized crime,Crime|Drama
336004,Scott Mann,casino|robbery|bus hijacking|heist,Crime|Action|Thriller
287903,Michael Dougherty,fire|winter|santa claus|snow storm|christmas tree,Horror|Comedy|Fantasy
182560,Gilles Paquet-Brenner,prison|based on novel|brother sister relationship|satanism|witness,Drama|Mystery|Thriller
192141,John Erick Dowdle,coup|american|family|foreign,Action|Thriller
308639,Rick Famuyiwa,california|hip-hop|harvard university|geek|coming of age,Crime|Drama|Comedy
261392,Nima Nourizadeh,memory loss|stoner|black ops,Comedy|Action
304357,Simon Curtis,nazis|art|stolen painting,Drama
297291,Mike Elliott,magic|fantasy|steampunk|dragon,Action|Fantasy|Adventure
266294,Jason Moore,sister sister relationship|childhood home,Comedy
227719,Dean Israelite,time travel|time machine|teenager|found footage,Science Fiction|Thriller
86828,Terry Jones,london|alien|teacher|talking animal|super powers,Comedy|Science Fiction
287948,He Delivers.,"The fast-paced action movie is again set in the criminal underworld in France, where Frank Martin is known as The Transporter, because he is the best driver and mercenary money can buy. In this installment, he meets Anna and they attempt to take down a group of ruthless Russian human traffickers who also have kidnapped Frankâ€™s father.",EuropaCorp
201085,Guillermo del Toro,haunted house|mining|murder|spitting blood|gothic,Mystery|Thriller|Fantasy|Horror|Drama
277355,Joe Lynch,assassin|mob boss,Thriller|Action
264999,Gregory Jacobs,male friendship|strip club|road trip|strip tease|strip,Comedy|Drama|Music
146301,Gregory Plotkin,terror|supernatural|sequel|demon|found footage,Horror|Thriller
223485,John Maclean,fire|bounty hunter|shotgun|horseback riding|horse,Romance|Thriller|Western
294016,Jay Roach,screenwriter|communist|biography|film history|hollywood,Drama
290751,Billy Ray,fbi|missing child,Crime|Drama|Mystery
309245,Noah Baumbach,comedy,Comedy
228165,Paul Tibbitt,ocean|sea|star|water|comedy,Family|Animation
245706,Rupert Goold,,Crime|Drama|Mystery
272878,Boaz Yakin,afghanistan|war|based on true story|rescue|betrayal,Adventure|Drama|Family
263109,Mark Burton|Richard Starzack,countryside|sheep|based on tv series|memory loss|hospital,Family|Animation|Comedy|Adventure
157827,Joachim Trier,usa|brother brother relationship|father-son relationship|car accident|death of mother,Drama
321751,Fernando LeÃ³n de Aranoa,road movie,Comedy|Drama
266396,Pierre Morel,assassin|hitman,Action|Drama|Crime
277685,Levan Gabriadze,computer|bullying|revenge|internet|violence,Horror|Thriller
268920,Anne Fletcher,texas|prisoner|cop|drug cartel|on the run,Action|Crime|Comedy
280092,Leigh Whannell,sequel,Drama|Horror|Thriller
193687,Craig Zobel,love triangle|based on novel|jealousy|radiation|tractor,Drama|Science Fiction|Thriller
300803,Colin Teague,magic|wall|druid|knight|dragon,Action|Adventure|Fantasy
328589,Nicholas Hytner,based on novel|biography|based on true story,Comedy|Drama
228066,Paul McGuigan,london|frankenstein|human experiment|reanimated corpse|frankenstein's monster,Drama|Science Fiction|Thriller
378373,Gerado Olivares|Otmar Penker,eagle|learning to fly|eagle's feather|father son conflict|bird's nest,Adventure|Drama|Family
291270,Duke Johnson|Charlie Kaufman,sex|depression|existentialism,Animation|Comedy|Drama|Romance
294963,S. Craig Zahler,poison|prisoner|murder|rifle|gore,Horror|Western|Adventure|Drama
241257,Alejandro AmenÃ¡bar,investigation|memory loss,Horror|Mystery|Thriller
245698,Edward Zwick,chess|cold war|russia|biography|victory,Drama
353326,Matt Brown,england|indian|mathematician|biography|cambridge,Drama
346808,Stephen S. Campanelli,,Thriller|Action
250124,Marielle Heller,1970s|teenage girl|older man younger woman relationship|based on graphic novel|teenage sexuality,Drama|Romance
290637,Uli Edel,halloween|police|revenge|burned alive|children,Horror|Thriller
244458,Marjane Satrapi,violence|psychiatrist|dark|evil|woman director,Horror|Thriller|Comedy|Crime
308504,Kazuaki Kiriya,loyalty|emperor|castle|sword fight|revenge,Action|Adventure
314405,Matteo Garrone,,Romance|Fantasy|Horror
282984,Woody Allen,,Mystery|Drama
157843,Werner Herzog,middle east|persia|adventurer,Drama|History
275601,Jonathan Demme,homophobia|rock star|aging|family relationships|divorce,Comedy|Drama|Music
290762,Catherine Hardwicke,female friendship|music|friendship|love|cancer,Comedy|Drama|Romance
251516,David Sandberg,video game|martial arts|kung fu|hacker|nazis,Action|Comedy|Science Fiction|Fantasy
304372,David M. Rosenthal,,Drama|Thriller
324807,Luca Guadagnino,italy|fish|rock star|vacation|rock concert,Crime|Drama|Mystery|Thriller
252512,Noah Baumbach,marriage|middle age,Drama|Comedy
257091,Etan Cohen,prison|training|framed|embezzlement,Comedy
228968,Daniel Alfredson,,Drama|Action|Crime|Thriller
347969,Frank Coraci,wild west,Comedy|Western
237756,Kriv Stenders,assassin|dark comedy,Comedy|Thriller
293646,Patricia Riggen,mining|chile|based on true story|survival|woman director,History|Drama
245168,Sarah Gavron,london|biography|feminist|period drama|woman director,Drama|History
311291,Andrew Haigh,secret|marriage,Drama
301351,Max Joseph,dj,Drama|Music|Romance
248574,Kyle Newman,assassin|high school,Adventure|Action|Comedy
225728,Justin Kurzel,scotland|shakespeare|medieval,History|Drama|War
326425,Steven C. Miller,terrorist|kidnapping|ex cia agent|rescue operation,Action|Thriller
342474,Mary Agnes Donoghue,woman director,Comedy|Drama
277217,Kenny Ortega,fairy tale|villain|musical|teen movie|teenager,Music|Action|Adventure|Comedy|Family
207936,Sean Mewshaw,widow|biography|writer|folk singer,Music|Romance|Comedy
250734,Thomas Vinterberg,sheep|rural setting|housekeeper,Romance|Drama
249688,James Ponsoldt,,Drama
268238,John Madden,old people's home,Drama|Comedy
256962,Alejandro Monteverde,,Comedy|Drama|War
322456,Brandon Vietti,dc comics|based on comic book|super powers|lego,Action|Adventure|Animation|Family
302528,Atom Egoyan,,Drama|Thriller
222936,Cameron Crowe,hawaii|military,Adventure|Comedy|Romance
316002,David O. Russell|Stephen Greene,one-night stand|romantic comedy|accidental love,Romance|Comedy
365806,Ian Kirby,video game|based on novel|space war|animation|halo,Action|Animation|Science Fiction
10317,David Gordon Green,political campaign|south america,Drama|Comedy
334538,Patricia Rozema,female nudity|rape|fire|dancer|based on novel,Drama|Science Fiction
306947,Karyn Kusama,psychological thriller|psycho thriller|woman director|reunited friends|dinner party,Thriller
328901,Andrew Renzi,,Drama
382517,David Feiss,bear|open season|elliot|boog,Animation|Comedy|Family|Adventure
310133,Jon Watts,sheriff|colorado|murder|suspense|shootout,Thriller
237584,William Monahan,,Thriller
288036,Leslye Headland,sex|cheating|love|male female relationship|woman director,Comedy
354110,Jon Cassar,,Western|Drama
331781,Asif Kapadia,jazz|drug addiction|overdose|biography|addiction,Documentary|Music
253161,Sophie Barthes,period piece|social status|extramarital affair|woman director,Drama
312831,Corin Hardy,baby|fairy tale|tree|transformation|mill,Fantasy|Horror
316322,Zeke Norton,barbie|princess|super powers,Family|Animation
301846,Paul Hyett,england|fire|conductor|chase|transformation,Horror
306745,Peter Sollett,new jersey|equality|lesbian couple|cancer,Romance|Drama
332340,Ben Palmer,bowling|blind date|party|mistaken identity|wedding anniversary,Romance|Comedy
292431,Gaspar NoÃ©,paris|sex|sexuality|cocaine|nudity,Drama|Romance
300693,James Vanderbilt,document|biography|one word title|tv reporter|directorial debut,Drama
333381,Fouad Mikati,date|prison|nurse|rape|flirting,Thriller
256924,Dan Fogelman,rock star|middle age,Comedy|Drama|Music
253414,Barry Levinson,jealousy|ex-boyfriend|afghanistan|record producer|last chance,Comedy|Music|War
254172,Gabriele Muccino,widow|mental breakdown|family,Drama
320588,Michael Showalter,dating|middle age,Comedy|Drama|Romance
157544,Mark Neveldine,exorcism|anti-christ|exorcists,Thriller|Horror
283235,Ramin Bahrani,florida|motel|finances|single father|mother son relationship,Drama
243938,Steve Pink,time travel|sequel|hot tub|duringcreditsstinger,Comedy
86835,Terrence Malick,celebrity|money|temptation|wealthy man|excess,Romance|Drama
254905,David Gordon Green,,Drama
309242,Ryan Fleck|Anna Boden,poker|gambling|casino|new orleans|roulette,Drama
332502,Matt Osterman,spacecraft|experiment|simulation|space|astronaut,Mystery|Science Fiction|Thriller
286192,James Ford Murphy,pixar animated short|animation|pixar|short,Animation|Comedy|Family|Fantasy|Music
284674,Christian Cantamessa,,Thriller|Science Fiction
360055,John Lyde,,Action
352179,Wayne Blair,,Drama|Thriller
246127,Wim Wenders,,Drama
338676,Miguel Ãngel Vivas,mutant|thriller|zombies|zombie apocalypse,Drama|Horror|Science Fiction
330982,Brady Corbet,,Mystery|Drama|Horror
232572,Ken Kwapis,hiking|backpacker|friends|appalachian trail,Drama|Adventure|Comedy
112454,Jon Watts,clown|boy|murder|blood|child murder,Horror
243940,David Gelb,terror|experiment|afterlife|paranormal|violence,Thriller|Horror
321528,Jay Oliva,gotham city|robin|super powers|dollmaker|court of owls,Action|Adventure|Animation
317744,Elizabeth Allen Rosenbaum,woman director,Thriller
300792,Louie Psihoyos,animal species|earth|scientist|globe|activist,Adventure|Documentary
239573,Ken Scott,europe|business trip,Comedy
167810,Ryan Gosling,underworld|lost city,Fantasy|Thriller
319075,Brett Morgen,,Music|Documentary
316042,Paul Gross,,War|Drama
334527,Jackie Earle Haley,mobster|money problems|borrow|trouble|classmates,Thriller|Crime|Drama
300153,Anton Corbijn,james dean|magazine|biography|celebrity|buddy,Drama
228203,Niki Caro,california|small town|coach|championship|woman director,Drama
332704,Michael Petroni,,Horror|Mystery
278236,Morgan Matthews,child prodigy|mathematics|death of father|coming of age|teenager,Drama
276839,Anthony Burns,wife|murder|black comedy|suburbia|drug,Drama|Comedy
326215,Toby Genkel|Sean McCormack,adventure|animal|noah's ark,Animation|Adventure|Comedy
363689,Sheldon Wilson,,Thriller|Horror
318256,Jill Bauer|Ronna Gradus,porno star|craigslist|woman director|sex trade|porno filmmaking,Documentary
299245,Travis Cluff|Chris Lofing,gallows|high school|tragedy|hanging|found footage,Horror|Thriller
333344,Neil LaBute,sex|hotel|airport|infidelity|homosexuality,Drama|Comedy
357096,R.D. Braunstein,male nudity|rape|detective|nudity|group therapy,Horror|Thriller
309299,Michael Almereyda,experiment|biography|controversy,History|Drama
314385,Angelina Jolie,france|hotel|1970s|grief|travel,Drama|Romance
333596,Andrew Erwin|Jon Erwin,sport|racism,Drama
361042,Sheldon Wilson,monster|island|halloween|curse|storm,Horror|TV Movie
353686,Kevin Greutert,horror|vision|pregnant|sight,Thriller|Horror
318954,Chad Burns,mercenary,Action
289191,Anders Morgenthaler,prostitute|border|black market|business woman|mortal danger,Drama|Thriller
324333,Robert Duvall,,Crime|Drama
252164,Ron Scalpello,survival,Drama|Thriller
360784,Ross Duffer|Matt Duffer,helicopter|underground|nightmare|quarantine|outbreak,Thriller|Horror
336313,Tom Gianas|Ross Shuman,orpheus|carnival|hell|stop motion animation|devil,Fantasy|Comedy|Animation
240483,Jon Wright,invasion|robot,Adventure|Science Fiction|Action
321494,Roel ReinÃ©,martial arts|sequel|revenge|slave,Action
353595,Rick Morales,,Action|Adventure|Animation|Family
360603,Alex Zamm,,TV Movie
264337,Sean McNamara,m.i.t.|hispanic|high school student|robotics club|car parts,Action|Drama|Family
289716,David Burris,appalachia|appalachian,Drama
296065,Anthony DiBlasi,mask|telephone|supernatural|hell|cop,Horror|Thriller
337029,Bernard Rose,frankenstein,Horror|Thriller
317952,Matthew Heineman,mexico|arizona|cocaine|crack|murder,Drama|Documentary
325358,Jason Friedberg|Aaron Seltzer,spoof|automobile racing,Comedy
272548,Antoine Bardou-Jacquet,,Comedy
340275,Spike Lee,chicago,Music|Drama|Crime|Comedy
309887,Craig Moss,louisiana|kidnapping,Comedy|Action
302429,Gary Rydstrom,elves|musical|aftercreditsstinger|duringcreditsstinger|love potion,Music|Animation|Family|Fantasy
253331,Mike Binder,grieving widower|widower,Drama
293771,Zach Lipovsky,chain saw|infection|quarantine|zombies|based on video game,Horror|Science Fiction
323373,Jason Lei Howden,new zealand|college|friendship|teenage boy|metal band,Comedy|Horror
323027,Sam Liu,dc comics|superhero|super powers,Action|Animation|Fantasy
297806,Marc Abraham,country music|biography|music|country singer,Drama|Music
253626,Andrew Niccol,pilot|suspicion|drone|u.s. military|air force base,Action|Drama|Thriller
354251,Roxanne Benjamin|David Bruckner|Patrick Horvath|Chad Villella|Matt Bettinelli-Olpin|Tyler Gillett|Justin Martinez|Radio Silence,anthology|woman director|horror anthology,Fantasy|Thriller|Horror|Science Fiction
329637,Tim Russ,,Action|Science Fiction|Adventure|Fantasy
257444,Craig Macneill,,Thriller|Drama|Horror
355338,Josh Cooley,mother daughter relationship|rock music|girl|father daughter relationship|boyfriend,Animation|Family
271736,Stephen Frears,biography|sport|tour de france,Drama
309581,Charles Stone III,,Thriller|Drama
293970,Todd Strauss-Schulson,virgin|summer camp|movie in movie|murder|slow motion scene,Horror|Comedy
279690,Jason Krawczyk,,Thriller|Horror|Comedy|Drama
364067,Sofia Coppola,woman director|christmas,Comedy|Music
318922,Owen Harris,magazine|music,Thriller|Comedy|Crime
335077,Simon Hung,,Family|Science Fiction|Action|Adventure
266639,Jon M. Chu,secret identity|hologram|based on cartoon|based on tv series|rock band,Drama|Music|Adventure|Fantasy
274504,Pamela Romanowsky,based on novel|woman director,Thriller|Action|Drama
244316,David Hackl,grizzly bear|wilderness|alaska|survival|bear,Action|Horror|Thriller
352208,Michael Moore,germany|italy|france|usa|portugal,Documentary
283587,Cary Fukunaga,africa|based on novel|child soldier,Drama|War
311539,Grant Harvey|Steven Hoban|Brett Sullivan,santa claus|christmas|krampus,Horror
277713,Terence Davies,,Drama
347945,Jacob Gentry,,Thriller|Mystery|Science Fiction
363483,Peter Sullivan,christmas,Family|TV Movie
344854,Nick Robertson,,Thriller|Horror
234212,Will Canon,,Thriller|Horror
354220,Nick Simon,serial killer|tied feet|tied up while barefoot,Crime|Horror|Thriller
283596,Robert Carlyle,based on novel,Thriller|Drama|Comedy
250225,Peter Strickland,sadomasochism|lesbian|butterfly|lesbian love|autumn,Drama
307479,April Mullen,diner|woman director,Thriller|Action
339145,Marya Cohn,woman director,Drama
323660,Jeremy M. Inman,,Fantasy|Action|Adventure
308638,Andrew Mogel|Jarrad Paul,high school reunion,Drama|Comedy
359983,Howy Parkins,,Family|TV Movie|Animation
300155,Julian Jarrold,,Thriller|Romance|Drama
328595,Christopher Leone,,Science Fiction|Action
327528,Robert Budreau,jazz|biography|historical figure,Drama|Music
329540,William Kaufman,,Thriller|Action
306964,Darren Lynn Bousman|Axelle Carolyn|Adam Gierasch|Andrew Kasch|Neil Marshall|Lucky McKee|Ryan Schifrin|Mike Mendez|Dave Parker|John Skipp|Paul Solet,witch|based on novel|halloween|death|evil,Horror
360387,Ken Sanzel,,Adventure|Action
362185,Obin Olson|Amariah Olson,hostage|officer|chaos|daughter|police,Thriller|Action|Drama
94365,Tom Six,exploitation|sequel|gore|b movie|graphic violence,Horror
241855,Aaron Moorhead|Justin Benson,,Horror|Romance|Science Fiction
322518,Adam Massey,,Thriller
291272,Ted Geoghegan,terror|countryside|secret|supernatural|spirit,Horror
324963,Dan Fraga|William Lau,school|ghost,Animation|Family|Fantasy
342927,Christopher Ray,monster|mutation|machete|shark|pacific garbage patch,Science Fiction|Action|Horror
361159,Stanton Barrett,louisiana|navy seal|zombies|zombie violence|infected,Horror|Action
365805,Michael Bafaro,,Thriller|Action|Horror
351964,Will Slocombe,father-son relationship|prostitute|magazine|escort service|writer,Comedy|Romance
362057,Kevin Goetz|Michael Goetz,child abuse|sadism|female friendship|afterlife|buried alive,Drama|Horror|Thriller
137333,Matthew Leutwyler,dark,Thriller|Drama|Science Fiction
317198,Erik Canuel,,TV Movie|Adventure|Comedy
57876,Oren Peli,found footage|area 51,Horror|Thriller|Science Fiction
339533,John Baumgartner,earthquake|los angeles|family|tv|seismologist,TV Movie|Action|Science Fiction
277546,Austin Stark,,Drama
308457,Jennifer Phang,identity|unemployment|dystopic future|woman director|corporation,Science Fiction|Drama|Family
306482,Ariel Kleiman,birthday|chicken|food,Thriller|Drama
362105,Peter DeLuise,,Comedy|Horror
245846,Kim Farrant,australia|missing child|outback|alcoholic drink|troubled marriage,Drama|Thriller
330112,Tony McNamara,cia|assassin|romance|neighbor|teenager,Drama|Romance|Comedy
322766,Christopher Zalla,murder|true crime|tv movie,Crime|Drama|Thriller
361931,Anthony Wonke,biography|soccer player,Documentary
318224,Alex Gibney,cult|scientology,Documentary
309503,Mora Stephens,woman director,Thriller|Drama
348811,Ryan Little,world war ii|nazis,War|Action
310135,FranÃ§ois Simard|Anouk Whissell|Yoann-Karl Whissell,post-apocalyptic|dystopia|gore|bmx|violence,Adventure|Action|Comedy|Science Fiction
355111,Karen J. Lloyd,princess|barbie doll,Animation|Music|Family
335866,Aaron Hann|Mario Miscione,survival|execution|stranger|no memory,Drama|Horror|Science Fiction|Thriller
295592,Mark Linfield|Alastair Fothergill,,Animation|Documentary
335970,Fred Wolf,white trash,Comedy
366142,Kyle Balda|Julien Soret,minions,Animation
310121,Brett Haley,widow|friendship,Drama|Comedy
361263,Robert Harmon,,Drama|TV Movie|Crime|Mystery
324308,Alex Gibney,technology|computer|history|apple,Documentary
326923,Lee Friedlander,babysitter|escort service|high school|hooker|babysitting,Drama|TV Movie
356842,David Farr,baby|expecting|neighbors,Thriller
339530,Don Michael Paul,africa|monster|sequel|creature|graboids,Science Fiction|Action|Horror
331190,Jerry Jameson,hostage|based on true story|murder|independent film|single mother,Crime|Drama|Thriller
301729,Marc Furmie,,Science Fiction|Thriller|Fantasy
395883,Francesco Cinquemani,maze|labyrinth|claustrophobic,Action|Science Fiction
356300,Jeremy Lalonde,small town|sex scene|woman in lingerie,Comedy
218784,Robbie Pickering,small town|vampire|alien|zombies|teenager,Science Fiction|Comedy|Horror
310137,JosÃ© Manuel Cravioto,van|revenge|murder|kidnapping|gore,Thriller|Horror
342917,Butch Lukic,dc comics|joker|superhero|super powers,Action|Animation|Family
79698,Roland JoffÃ©,,Action|Adventure|Science Fiction|Romance
337960,Neil Armfield,,Drama
296130,Alec Gillis,cosmonaut|marine researchers|crab boat|bering sea|beluga whale,Science Fiction|Horror
327418,Butch Lukic,super powers,Action|Animation|Family
246133,Rick Alverson,,Drama|Comedy
328869,Reed Morano,disappearance|woman director,Drama
308032,Kyle Patrick Alvarez,,Thriller|Drama
329829,Mika KaurismÃ¤ki,gay|sweden|queen|banquet|based on true story,Drama|History|Romance
330544,Dee Rees,blues music|woman director,Drama|Music|TV Movie
299551,Chris Sparling,experiment|psychology|government|weapon|supernatural,Horror
